fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
2246,Mid,4855.330191,14697,4855.3446785,217.86700000029668,0.8905243422556214,0.5939929485321045,0.3979248031973839,0.589438796043396,0.3989138305187225,True,5,Mid|5,2245.0,4855.330191,Right|4,Mid|5 -> Right|4,0.0,Mid,Right
2246,Right,4855.330191,14697,4855.3446785,217.86700000029668,0.8905243422556214,0.2879992127418518,0.6500269770622253,0.2879992127418518,0.6500269770622253,True,4,Right|4,2247.0,4855.564766,Mid|5,Right|4 -> Mid|5,0.23457500000040454,Right,Mid
2252,Mid,4856.670624,14737,4856.676087,217.86700000029668,0.2591909520583363,0.6179912313818932,0.45069468766450876,0.6207546591758728,0.4536124169826507,True,5,Mid|5,2252.0,4856.704135,Right|8,Mid|5 -> Right|8,0.033510999999634805,Mid,Right
2252,Right,4856.704135,14738,4856.676087,217.86700000029668,0.2591909520583363,0.3707961738109588,0.7076969742774963,0.3707961738109588,0.7076969742774963,True,8,Right|8,2253.0,4856.9052,Mid|5,Right|8 -> Mid|5,0.20106500000019878,Right,Mid
2266,Mid,4859.787131,14830,4859.7786735,217.86700000029668,0.7862254680909551,0.6022873606000628,0.4620408458369119,0.5975640416145325,0.4643087089061737,True,5,Mid|5,2266.0,4859.854152,Right|1,Mid|5 -> Right|1,0.06702099999984057,Mid,Right
2266,Right,4859.854152,14832,4859.7786735,217.86700000029668,0.7862254680909551,0.2051199227571487,0.2486916929483413,0.2051199227571487,0.2486916929483413,True,1,Right|1,2267.0,4859.988196,Mid|5,Right|1 -> Mid|5,0.1340440000003582,Right,Mid
2271,Mid,4860.859477,14862,4860.868008,157.3484999998982,0.5738551095045306,0.5544270277023315,0.4144961933294932,0.5564425587654114,0.4177859127521515,True,5,Mid|5,2271.0,4860.926499,Right|7,Mid|5 -> Right|7,0.0670220000001791,Mid,Right
2271,Right,4860.926499,14864,4860.868008,157.3484999998982,0.5738551095045306,0.313114583492279,0.7075068950653076,0.313114583492279,0.7075068950653076,True,7,Right|7,2272.0,4861.027031,Mid|5,Right|7 -> Mid|5,0.10053199999947537,Right,Mid
2274,Mid,4861.462672,14880,4861.473194,217.8669999993872,0.2847331255487222,0.6101017668843269,0.4351584166288376,0.5974379181861877,0.4510301053524017,True,5,Mid|5,2275.0,4861.79778,Dashboard|5,Mid|5 -> Dashboard|5,0.33510800000021845,Mid,Dashboard
2275,Dashboard,4861.79778,14890,4861.7999945,201.72849999926257,0.7726201599185218,0.5444614716938564,0.43300738079207285,0.5429630875587463,0.431951105594635,True,5,Dashboard|5,2275.0,4861.898313,Left|5,Dashboard|5 -> Left|5,0.10053299999981391,Dashboard,Left
2275,Left,4861.898313,14893,4861.7999945,201.72849999926257,0.7726201599185218,0.3564164042472839,0.5463117361068726,0.3564164042472839,0.5463117361068726,True,5,Left|5,2276.0,4862.032356,Mid|5,Left|5 -> Mid|5,0.13404300000001967,Left,Mid
2282,Mid,4863.272257,14934,4863.2847170000005,217.8669999993872,0.6189465999930442,0.6026410683989525,0.4618482477962971,0.6036018133163452,0.4612351953983307,True,5,Mid|5,2283.0,4863.540343,Dashboard|5,Mid|5 -> Dashboard|5,0.26808600000003935,Mid,Dashboard
2283,Dashboard,4863.540343,14942,4863.5348605,217.8669999993872,1.0406882542157452,0.551645747252873,0.5156067950384957,0.5518857836723328,0.512953519821167,True,5,Dashboard|5,2283.0,4863.573854,Mid|6,Dashboard|5 -> Mid|6,0.0335110000005443,Dashboard,Mid
2286,Mid,4864.277581,14964,4864.277222,185.5905000002167,0.7686289638793726,0.6052769252232143,0.43086494292531696,0.6027626395225525,0.4314518868923187,True,5,Mid|5,2287.0,4864.478646,Dashboard|5,Mid|5 -> Dashboard|5,0.20106499999928928,Mid,Dashboard
2288,Dashboard,4864.646201,14975,4864.636299,96.82950000023992,0.3811557354849448,0.5436992794275284,0.32300844788551325,0.5449838042259216,0.3224692642688751,True,2,Dashboard|2,2289.0,4864.780244,Mid|5,Dashboard|2 -> Mid|5,0.13404300000001967,Dashboard,Mid
2300,Mid,4867.05898,15047,4867.0651115,217.86700000029668,0.2996801256614446,0.52630222029984,0.4176771193742752,0.5837632417678833,0.4542800486087799,True,5,Mid|5,2301.0,4867.327067,Left|4,Mid|5 -> Left|4,0.2680870000003779,Mid,Left
2301,Left,4867.327067,15055,4867.3394625,217.86700000029668,1.239582045737856,0.25214513763785357,0.5494693368673325,0.396387904882431,0.4479948580265045,True,4,Left|4,2301.0,4867.327067,Dashboard|5,Left|4 -> Dashboard|5,0.0,Left,Dashboard
2301,Dashboard,4867.327067,15055,4867.3394625,217.86700000029668,1.239582045737856,0.5194440931081772,0.4271255061030388,0.5233179330825806,0.4244386553764343,True,5,Dashboard|5,2302.0,4867.595153,Mid|5,Dashboard|5 -> Mid|5,0.26808600000003935,Dashboard,Mid
2304,Mid,4868.064305,15077,4868.0535820000005,149.27849999912723,0.7026592349919532,0.5771927237510681,0.4302847981452942,0.5484759211540222,0.464242935180664,True,5,Mid|5,2305.0,4868.298881,Dashboard|5,Mid|5 -> Dashboard|5,0.23457599999983358,Mid,Dashboard
2305,Dashboard,4868.298881,15084,4868.29448,138.35200000085024,1.2470662585016663,0.571328628063202,0.4485322952270508,0.5760483741760254,0.4486884772777557,True,5,Dashboard|5,2305.0,4868.432924,Left|2,Dashboard|5 -> Left|2,0.13404300000001967,Dashboard,Left
2305,Left,4868.432924,15088,4868.29448,138.35200000085024,1.2470662585016663,0.6375184059143066,0.2562733888626098,0.6375184059143066,0.2562733888626098,True,2,Left|2,2306.0,4868.466435,Mid|5,Left|2 -> Mid|5,0.0335110000005443,Left,Mid
2314,Mid,4870.242509,15142,4870.2483895000005,217.86649999921792,0.1503816814108798,0.5538410320878029,0.4593568332493305,0.5547627806663513,0.4611939489841461,True,5,Mid|5,2314.0,4870.443574,Right|1,Mid|5 -> Right|1,0.20106500000019878,Mid,Right
2314,Right,4870.443574,15148,4870.2483895000005,217.86649999921792,0.1503816814108798,0.1060255989432334,0.2869417071342468,0.1060255989432334,0.2869417071342468,True,1,Right|1,2315.0,4870.477084,Mid|5,Right|1 -> Mid|5,0.033510000000205764,Right,Mid
2318,Mid,4871.147301,15169,4871.135995000001,217.8669999993872,0.2096481250602609,0.5481609106063843,0.45845264693101245,0.5496114492416382,0.4674268662929535,True,5,Mid|5,2319.0,4871.415387,Dashboard|5,Mid|5 -> Dashboard|5,0.26808600000003935,Mid,Dashboard
2320,Dashboard,4871.616452,15183,4871.6241785,104.89899999993212,0.7132214713576253,0.5276601612567902,0.5271513164043427,0.5286908745765686,0.5243280529975891,True,5,Dashboard|5,2320.0,4871.649963,Left|4,Dashboard|5 -> Left|4,0.033510999999634805,Dashboard,Left
2320,Left,4871.649963,15184,4871.6241785,104.89899999993212,0.7132214713576253,0.2216670215129852,0.5927373170852661,0.2216670215129852,0.5927373170852661,True,4,Left|4,2321.0,4871.784007,Mid|5,Left|4 -> Mid|5,0.1340440000003582,Left,Mid
2323,Mid,4872.219647,15201,4872.213226,217.8669999993872,0.1606005200011094,0.5294468913759504,0.46147264753069195,0.5283662676811218,0.4624472558498382,True,5,Mid|5,2323.0,4872.253158,Right|4,Mid|5 -> Right|4,0.0335110000005443,Mid,Right
2323,Right,4872.253158,15202,4872.213226,217.8669999993872,0.1606005200011094,0.0010420799953863,0.5899720191955566,0.0010420799953863,0.5899720191955566,True,4,Right|4,2324.0,4872.420712,Mid|5,Right|4 -> Mid|5,0.16755399999965448,Right,Mid
2339,Mid,4875.939349,15312,4875.9532745,108.93350000060308,0.2982123140591007,0.545600700378418,0.47230225801467896,0.5447723269462585,0.4725207984447479,True,5,Mid|5,2340.0,4876.106903,Dashboard|5,Mid|5 -> Dashboard|5,0.16755399999965448,Mid,Dashboard
