fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
334,Left,307.594212,2093,307.5251475,217.8635000000213,0.952014197794214,0.3974481523036957,0.8052529096603394,0.3974481523036957,0.8052529096603394,True,8.0,Left|8,335.0,307.761764,Mid|5,Left|8 -> Mid|5,0.1675520000000006,Left,Mid
336,Mid,307.996337,2105,308.009289,125.06949999999506,1.462548317444506,0.5129065632820129,0.39959300756454463,0.5167490839958191,0.3960928618907928,True,5.0,Mid|5,336.0,307.996337,Left|9,Mid|5 -> Left|9,0.0,Mid,Left
336,Left,307.996337,2105,308.009289,125.06949999999506,1.462548317444506,0.8517586588859558,0.6847609877586365,0.8517586588859558,0.6847609877586365,True,9.0,Left|9,337.0,308.130379,Mid|5,Left|9 -> Mid|5,0.1340420000000222,Left,Mid
346,Mid,309.90643,2162,309.9014755,96.82800000001636,1.4225027659406944,0.5338153690099716,0.4062571004033088,0.5343483686447144,0.4115490317344665,True,5.0,Mid|5,346.0,309.973451,Left|9,Mid|5 -> Left|9,0.0670210000000111,Mid,Left
346,Left,309.973451,2164,309.9014755,96.82800000001636,1.4225027659406944,0.8339393734931946,0.6774041652679443,0.8339393734931946,0.6774041652679443,True,9.0,Left|9,347.0,310.006961,Mid|5,Left|9 -> Mid|5,0.03350999999997839,Left,Mid
350,Mid,310.677169,2185,310.6680325,217.86400000002004,0.7079215188068875,0.40004011137144907,0.3586611918040684,0.40287846326828,0.3603330850601196,True,5.0,Mid|5,350.0,310.7777,Left|3,Mid|5 -> Left|3,0.10053099999998949,Mid,Left
350,Left,310.7777,2188,310.6680325,217.86400000002004,0.7079215188068875,0.7097615599632263,0.1880951076745987,0.7097615599632263,0.1880951076745987,True,3.0,Left|3,351.0,310.878231,Mid|5,Left|3 -> Mid|5,0.10053100000004633,Left,Mid
352,Mid,311.112804,2198,311.111829,189.6220000000426,0.8692717791158645,0.47208663395472933,0.38149094581604004,0.4635894894599914,0.3847521245479584,True,5.0,Mid|5,352.0,311.246846,Left|3,Mid|5 -> Left|3,0.1340420000000222,Mid,Left
352,Left,311.246846,2202,311.111829,189.6220000000426,0.8692717791158645,0.784465491771698,0.1898362934589386,0.784465491771698,0.1898362934589386,True,3.0,Left|3,353.0,311.313867,Mid|5,Left|3 -> Mid|5,0.0670210000000111,Left,Mid
367,Mid,314.061719,2286,314.077196,217.8630000000794,0.9537081055217006,0.5820961594581604,0.3875181935727596,0.5846085548400879,0.3868343234062195,True,5.0,Mid|5,368.0,314.296292,Left|9,Mid|5 -> Left|9,0.2345730000000117,Mid,Left
