fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1229,Mid,4793.814623,7406,4793.8119745,133.14149999951042,1.4407724795796777,0.26650574207305905,0.4825856268405914,0.2711851000785827,0.4947352707386017,True,4,Mid|4,1229.0,4793.881645,Left|9,Mid|4 -> Left|9,0.0670220000001791,Mid,Left
1229,Left,4793.881645,7408,4793.8119745,133.14149999951042,1.4407724795796777,0.8377001285552979,0.6711815595626831,0.8377001285552979,0.6711815595626831,True,9,Left|9,1230.0,4793.948667,Mid|4,Left|9 -> Mid|4,0.06702199999926961,Left,Mid
1239,Mid,4795.523685,7457,4795.51054,197.6955000000089,1.3297040515785068,0.37713163239615305,0.49093311599322725,0.3717466592788696,0.4846728444099426,True,5,Mid|5,1239.0,4795.657729,Left|8,Mid|5 -> Left|8,0.13404399999944872,Mid,Left
1239,Left,4795.657729,7461,4795.51054,197.6955000000089,1.3297040515785068,0.6663435697555542,0.7583973407745361,0.6663435697555542,0.7583973407745361,True,8,Left|8,1240.0,4795.758262,Mid|4,Left|8 -> Mid|4,0.1005330000007234,Left,Mid
1240,Mid,4795.758262,7464,4795.7566505,217.8685000008045,1.4519387060136697,0.3042607179709843,0.5199286256517682,0.3122276067733764,0.526822030544281,True,4,Mid|4,1240.0,4795.791773,Left|8,Mid|4 -> Left|8,0.033510999999634805,Mid,Left
1240,Left,4795.791773,7465,4795.7566505,217.8685000008045,1.4519387060136697,0.6120142340660095,0.7715317010879517,0.6120142340660095,0.7715317010879517,True,8,Left|8,1241.0,4795.992839,Mid|4,Left|8 -> Mid|4,0.20106599999962782,Left,Mid
1259,Mid,4799.746072,7583,4799.754937,145.24549999987357,1.4286639078948586,0.47822634875774384,0.07134522497653957,0.4795229732990265,0.0737962648272514,True,2,Mid|2,1260.0,4799.913627,Dashboard|8,Mid|2 -> Dashboard|8,0.16755499999999302,Mid,Dashboard
1262,Dashboard,4800.248737,7598,4800.2632965,88.76150000014604,0.9234507567741214,0.30797841399908066,0.5992631167173386,0.3088200092315674,0.5952006578445435,True,4,Dashboard|4,1263.0,4800.382781,Mid|5,Dashboard|4 -> Mid|5,0.1340440000003582,Dashboard,Mid
1270,Mid,4801.890777,7647,4801.8811705,217.8680000006352,1.333733169482077,0.3818624530519758,0.5138632825442723,0.4018756151199341,0.5276470184326172,True,5,Mid|5,1270.0,4802.024821,Left|9,Mid|5 -> Left|9,0.1340440000003582,Mid,Left
1270,Left,4802.024821,7651,4801.8811705,217.8680000006352,1.333733169482077,0.9840419292449952,0.6704747080802917,0.9840419292449952,0.6704747080802917,True,9,Left|9,1271.0,4802.091843,Mid|5,Left|9 -> Mid|5,0.0670220000001791,Left,Mid
