fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
2760,Dashboard,2935.932251,16622,2935.9289805,96.8300000004092,1.451044918695916,0.3613384962081909,0.7548298388719559,0.3609489500522613,0.751359224319458,True,8,Dashboard|8,NA3_baseline:000,2760.0,2935.965762,Left|6,Dashboard|8 -> Left|6,0.033510999999634805,Dashboard,Left
2760,Left,2935.965762,16623,2935.9289805,96.8300000004092,1.451044918695916,0.6746400594711304,0.5041122436523438,0.6746400594711304,0.5041122436523438,True,6,Left|6,NA3_baseline:000,2761.0,2936.032784,Dashboard|7,Left|6 -> Dashboard|7,0.0670220000001791,Left,Dashboard
2761,Dashboard,2936.032784,16625,2936.029845,217.86900000006423,1.3079173729019573,0.28730544447898865,0.778703612940652,0.2887261211872101,0.774311363697052,True,7,Dashboard|7,NA3_baseline:000,2762.0,2936.300873,Mid|5,Dashboard|7 -> Mid|5,0.26808900000014546,Dashboard,Mid
2769,Mid,2937.574293,16671,2937.5629935,104.90000000027068,0.5362336296660981,0.4044584110379219,0.48159461468458176,0.4041992425918579,0.4857635498046875,True,5,Mid|5,NA3_baseline:000,2770.0,2937.708338,Dashboard|4,Mid|5 -> Dashboard|4,0.13404499999978725,Mid,Dashboard
2772,Dashboard,2938.11047,16687,2938.123803,189.62650000003123,1.4534942711357846,0.31705967017582487,0.5351179667881557,0.3174503743648529,0.5280749797821045,True,4,Dashboard|4,NA3_baseline:000,2773.0,2938.345048,Mid|5,Dashboard|4 -> Mid|5,0.2345780000000559,Dashboard,Mid
2774,Mid,2938.479092,16698,2938.4869175,133.14149999996516,0.6959620460493325,0.43249677419662474,0.48053196668624876,0.4333612620830536,0.4826854169368744,True,5,Mid|5,NA3_baseline:000,2774.0,2938.479092,Left|9,Mid|5 -> Left|9,0.0,Mid,Left
2773,Left,2938.479092,16698,2938.3537755,129.10749999991822,1.4104852187123391,0.8093101978302002,0.7035769820213318,0.8093101978302002,0.7035769820213318,True,9,Left|9,NA3_baseline:000,2775.0,2938.613136,Mid|5,Left|9 -> Mid|5,0.13404399999990346,Left,Mid
2782,Mid,2939.886557,16740,2939.870785,80.69249999971362,0.6928661214145763,0.35935654242833454,0.46618862946828205,0.3607494533061981,0.4680261611938476,True,5,Mid|5,NA3_baseline:000,2783.0,2939.98709,Dashboard|7,Mid|5 -> Dashboard|7,0.10053300000026866,Mid,Dashboard
2784,Dashboard,2940.154645,16748,2940.157242,201.7299999997704,1.3283488878527745,0.2465065547398158,0.5684753996985299,0.2474391162395477,0.5682505965232849,True,4,Dashboard|4,NA3_baseline:000,2785.0,2940.422734,Mid|5,Dashboard|4 -> Mid|5,0.26808900000014546,Dashboard,Mid
2793,Mid,2941.930732,16801,2941.9243975,217.86799999972573,1.3106503187935798,0.3023871396269117,0.4684963737215314,0.3012129366397857,0.4673030078411102,True,4,Mid|4,NA3_baseline:000,2794.0,2942.232331,Dashboard|4,Mid|4 -> Dashboard|4,0.3015990000003512,Mid,Dashboard
2796,Dashboard,2942.600953,16821,2942.6102795,209.7995000003721,1.013686706568076,0.3292679414153099,0.517483115196228,0.3216736614704132,0.5156852006912231,True,4,Dashboard|4,NA3_baseline:000,2797.0,2942.869041,Mid|5,Dashboard|4 -> Mid|5,0.2680879999998069,Dashboard,Mid
2802,Mid,2943.907884,16860,2943.901352,80.69200000045385,0.6452977227017224,0.36468496918678284,0.4789564311504364,0.3647279739379883,0.4798439145088196,True,5,Mid|5,NA3_baseline:000,2803.0,2944.008418,Dashboard|4,Mid|5 -> Dashboard|4,0.1005339999996977,Mid,Dashboard
2804,Dashboard,2944.242995,16870,2944.244293,157.34950000023673,1.4505805536729055,0.38821397721767426,0.5443940063317617,0.3863189220428467,0.5441936254501343,True,5,Dashboard|5,NA3_baseline:000,2804.0,2944.343528,Right|2,Dashboard|5 -> Right|2,0.10053299999981391,Dashboard,Right
