fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
72,2742.281457,498,2742.277195,217.8780000003826,0.6120804771182013,0.5053690842219761,0.37497858916010174,0.5121528506278992,0.3714520633220672,True,5,73.0,2742.482524,5.0,5 -> 5.0,0.20106699999996636
73,2742.482524,504,2742.499108,217.87750000021333,0.4638341220144567,0.49679050594568247,0.3692709617316723,0.502669632434845,0.374056339263916,True,5,74.0,2742.717102,5.0,5 -> 5.0,0.2345780000000559
74,2742.717102,511,2742.72102,217.8780000003826,0.5018477524184558,0.4879973269999027,0.3634285442531109,0.4923419952392578,0.3607041239738464,True,5,75.0,2742.951679,5.0,5 -> 5.0,0.23457699999971737
75,2742.951679,518,2742.9429325,217.87799999992785,0.6438012324548991,0.491021875824247,0.3669926609311785,0.4932940602302551,0.3640162348747253,True,5,76.0,2743.152746,5.0,5 -> 5.0,0.2010670000004211
76,2743.152746,524,2743.1648455,112.97349999995276,0.9491120735824302,0.48731552958488467,0.3352738082408905,0.4856404662132263,0.3363429009914398,True,5,79.0,2743.990523,1.0,5 -> 1.0,0.8377769999997327
79,2743.990523,549,2743.8547915,217.87750000021333,1.4456086599117024,0.321903645992279,0.3287322521209717,0.321903645992279,0.3287322521209717,True,1,80.0,2744.292123,2.0,1 -> 2.0,0.301600000000235
80,2744.292123,558,2744.2945815000003,112.97399999966729,1.4413215848338188,0.5175153911113739,0.2617611736059189,0.5340534448623657,0.2668885886669159,True,2,81.0,2744.426168,2.0,2 -> 2.0,0.13404499999978725
81,2744.426168,562,2744.41159,88.76500000042142,1.4663425878133332,0.5274350841840109,0.3159501751263936,0.5280649662017822,0.3165381550788879,True,2,82.0,2744.49319,5.0,2 -> 5.0,0.0670220000001791
82,2744.49319,564,2744.5043895,217.8780000003826,1.0974727318785236,0.4934590288570949,0.35974736298833576,0.498274028301239,0.3612454831600189,True,5,83.0,2744.727767,5.0,5 -> 5.0,0.23457699999971737
83,2744.727767,571,2744.7263025,169.4600000000719,1.4108481667459334,0.49717117349306744,0.3919016867876053,0.5111700892448425,0.3933503627777099,True,5,84.0,2744.895323,5.0,5 -> 5.0,0.16755600000033155
84,2744.895323,576,2744.8997975,217.8779999994731,0.9773222289543456,0.5038087889552116,0.3822140358388424,0.5070100426673889,0.4005164802074432,True,5,85.0,2745.129901,5.0,5 -> 5.0,0.23457799999960116
85,2745.129901,583,2745.1217100000003,217.87749999975856,0.7129821398867188,0.48697044593947275,0.34619172130312237,0.4959368109703064,0.3633375465869903,True,5,86.0,2745.330967,5.0,5 -> 5.0,0.20106600000008257
86,2745.330967,589,2745.3436225,217.87749999975856,1.1763982613278094,0.4918598420917988,0.3536953218281269,0.4952698349952698,0.3530634343624115,True,5,87.0,2745.565545,5.0,5 -> 5.0,0.2345780000000559
87,2745.565545,596,2745.565535,217.8780000003826,0.6952060074435158,0.5062699429690838,0.35829950124025345,0.4960819184780121,0.3549399673938751,True,5,88.0,2745.800123,2.0,5 -> 2.0,0.2345780000000559
88,2745.800123,603,2745.7874475,217.87750000021333,0.6914069127916581,0.5262486210891179,0.30651256654943737,0.5046432018280029,0.3421418666839599,True,2,89.0,2746.001189,5.0,2 -> 5.0,0.20106600000008257
89,2746.001189,609,2746.00936,217.87750000021333,0.6351547875877936,0.5226921513676643,0.35437436029314995,0.5078782439231873,0.3420280814170837,True,5,90.0,2746.235767,5.0,5 -> 5.0,0.2345780000000559
90,2746.235767,616,2746.231272,217.87799999992785,0.8150031972735683,0.506486679826464,0.3804172788347517,0.5014030933380127,0.3806163668632507,True,5,91.0,2746.436833,2.0,5 -> 2.0,0.20106600000008257
91,2746.436833,622,2746.4531850000003,217.87749999975856,0.5067124512935641,0.4749750345945358,0.32904563285410404,0.5190247893333435,0.354678213596344,True,2,92.0,2746.671411,5.0,2 -> 5.0,0.23457799999960116
92,2746.671411,629,2746.6750970000003,217.8779999994731,0.5145430679505338,0.47807559184730053,0.33926214277744293,0.1682204455137252,0.1301084160804748,True,5,93.0,2746.905989,5.0,5 -> 5.0,0.2345780000000559
93,2746.905989,636,2746.89701,217.87750000021333,0.5971242203857688,0.5246121031897408,0.36191496678761076,0.5202555656433105,0.3573957979679107,True,5,94.0,2747.107055,5.0,5 -> 5.0,0.20106600000008257
94,2747.107055,642,2747.118922,217.87799999992785,0.758287344189069,0.5272147729992867,0.34773191809654236,0.5274851322174072,0.352083683013916,True,5,95.0,2747.341633,5.0,5 -> 5.0,0.2345780000000559
95,2747.341633,649,2747.3408345,217.8780000003826,0.8925008208003038,0.5072145632335118,0.35131298644202097,0.5077312588691711,0.3617870211601257,True,5,96.0,2747.576211,5.0,5 -> 5.0,0.2345780000000559
96,2747.576211,656,2747.562747,217.87799999992785,0.9239565892821816,0.48231273889541626,0.3988324701786041,0.4855288565158844,0.3702987432479858,True,5,97.0,2747.777277,5.0,5 -> 5.0,0.20106600000008257
97,2747.777277,662,2747.7846595,217.87799999992785,1.1253776852425283,0.48001592233777046,0.347497895359993,0.4848650991916656,0.3530825078487396,True,5,98.0,2748.011855,2.0,5 -> 2.0,0.2345780000000559
98,2748.011855,669,2748.006572,209.80799999961164,1.0561114011009982,0.49174919724464417,0.3310949461800711,0.4909997284412384,0.329179972410202,True,2,101.0,2748.715588,5.0,2 -> 5.0,0.7037329999998292
101,2748.715588,690,2748.700553,217.87749999975856,1.2925425218000954,0.5620585680007935,0.3546046188899449,0.5393811464309692,0.3613458275794983,True,5,102.0,2748.916655,5.0,5 -> 5.0,0.20106699999996636
102,2748.916655,696,2748.9224655,217.8780000003826,0.3802273507772333,0.5483151376247406,0.39844923093914986,0.5415297746658325,0.3913032710552215,True,5,103.0,2749.151232,5.0,5 -> 5.0,0.23457700000017212
103,2749.151232,703,2749.144378,157.35600000016348,1.4204212109261385,0.5394741535186768,0.367257410287857,0.5416562557220459,0.3651475012302398,True,5,104.0,2749.318788,2.0,5 -> 2.0,0.1675559999998768
104,2749.318788,708,2749.3057685000003,217.8779999994731,0.522651051189716,0.5412868005888802,0.3221608144896371,0.5385057330131531,0.329474002122879,True,2,105.0,2749.519854,2.0,2 -> 2.0,0.20106600000008257
105,2749.519854,714,2749.5276815,217.87750000021333,1.205880431644452,0.5148352980613708,0.32806637138128275,0.5202638506889343,0.3336082398891449,True,2,106.0,2749.754432,2.0,2 -> 2.0,0.2345780000000559
106,2749.754432,721,2749.7495935,217.8780000003826,0.6239782501433642,0.47354808023997713,0.30598763057163786,0.5093851089477539,0.3240714967250824,True,2,107.0,2749.955499,2.0,2 -> 2.0,0.20106699999996636
107,2749.955499,727,2749.971506,217.87799999992785,0.5292128207958556,0.49767670407891273,0.33138491585850716,0.507448673248291,0.3234893679618835,True,2,108.0,2750.190076,2.0,2 -> 2.0,0.23457699999971737
108,2750.190076,734,2750.1934185,217.8780000003826,1.4413671486267867,0.48627138137817383,0.3302493877708912,0.4882566332817077,0.3305912911891937,True,2,109.0,2750.424654,5.0,2 -> 5.0,0.2345780000000559
109,2750.424654,741,2750.415331,205.77349999985017,1.3704520825583604,0.4729866257735661,0.3695084920951298,0.4678237438201904,0.3677898049354553,True,5,110.0,2750.625721,5.0,5 -> 5.0,0.20106699999996636
110,2750.625721,747,2750.625139,217.87799999992785,0.6199906713183396,0.5001892192023141,0.3736465999058315,0.4915826022624969,0.3847479522228241,True,5,111.0,2750.860298,5.0,5 -> 5.0,0.23457700000017212
111,2750.860298,754,2750.847052,217.87750000021333,0.9471393333722276,0.5221162353243146,0.37260720133781433,0.5101363658905029,0.3733613193035126,True,5,112.0,2751.061365,5.0,5 -> 5.0,0.20106699999996636
112,2751.061365,760,2751.068964,217.87799999992785,0.4902649966636723,0.5441768914461136,0.40060113742947573,0.5438599586486816,0.3908142745494842,True,5,113.0,2751.295942,5.0,5 -> 5.0,0.23457700000017212
113,2751.295942,767,2751.290877,217.87749999975856,0.5557272185281242,0.553869196346828,0.3866394204752786,0.5501639246940613,0.3879917860031128,True,5,114.0,2751.497009,5.0,5 -> 5.0,0.20106699999996636
114,2751.497009,773,2751.512789,112.97400000012205,1.4201153544409149,0.5470872163772583,0.3687659084796905,0.5548489689826965,0.3612691760063171,True,5,115.0,2751.631053,5.0,5 -> 5.0,0.13404399999990346
115,2751.631053,777,2751.629798,217.8770000000441,0.7683695789674138,0.5179019314902169,0.3770600003855569,0.5217736959457397,0.374035507440567,True,5,116.0,2751.865631,5.0,5 -> 5.0,0.2345780000000559
116,2751.865631,784,2751.85171,217.87799999992785,0.7630648962286852,0.49100465859685627,0.3709867809500013,0.5045833587646484,0.3779281079769134,True,5,117.0,2752.066698,5.0,5 -> 5.0,0.20106699999996636
117,2752.066698,790,2752.073623,217.8770000000441,0.6294741163401664,0.4917307843764623,0.3488850891590118,0.5014036893844604,0.3591637015342712,True,5,118.0,2752.301275,5.0,5 -> 5.0,0.23457699999971737
118,2752.301275,795,2752.295535,217.87799999992785,1.0120859439186545,0.4714030921459198,0.3464861512184143,0.4735750257968902,0.3540398180484772,True,5,119.0,2752.502342,5.0,5 -> 5.0,0.2010670000004211
